nodenumber,x-coordinate,y-coordinate,pressure,x-velocity,y-velocity
14928,1.0000000000e+00,3.7600000000e-01,-2.2933571490e-03,1.0494122560e+00,0.0000000000e+00
14929,5.2693258910e-03,3.7600267480e-01,4.0661044210e-04,1.0000111000e+00,4.8975514180e+01
14930,6.5569661640e-01,3.7602020390e-01,-9.2985323590e-03,1.0488734040e+00,-2.0308231320e-01
14931,9.9720334330e-01,3.7602807980e-01,-2.3034620230e-03,1.0493935910e+00,2.2545955490e-02
14932,9.9859432900e-01,3.7603001470e-01,-2.2972141280e-03,1.0494036490e+00,1.1745817840e-02
14933,9.9389870700e-01,3.7604737620e-01,-2.3157242110e-03,1.0493706740e+00,5.2302618410e-02
14934,1.2185699890e-03,3.7610648100e-01,1.0937738390e-04,1.0000052050e+00,4.8973320060e+01
14935,9.8639181710e-01,3.7616535450e-01,-2.3357126780e-03,1.0493101810e+00,1.1672483740e-01
14936,9.9170936920e-01,3.7626823920e-01,-2.3236997000e-03,1.0493306790e+00,7.1862525510e-02
14937,8.2118122350e-03,3.7628232130e-01,6.3781162700e-04,1.0000170400e+00,4.8946945210e+01
14938,1.1496759380e-02,3.7632832820e-01,8.9126326600e-04,1.0000361570e+00,4.8927596470e+01
14939,2.4271943340e-03,3.7633099330e-01,1.8966034810e-04,1.0000075930e+00,4.8953722600e+01
14940,2.7847841930e-01,3.7633296810e-01,5.5031568540e-02,1.0729418130e+00,-2.7607541100e+01
14941,9.8920305970e-01,3.7641509560e-01,-2.3311226050e-03,1.0492973780e+00,9.3394813040e-02
14942,6.6651160220e-03,3.7647404390e-01,5.1518249100e-04,1.0000108200e+00,4.8936983670e+01
14943,5.2752506710e-01,3.7654238450e-01,-2.4180811870e-02,1.0618185320e+00,-1.5746361400e+01
14944,3.5811944270e-03,3.7660546830e-01,2.7535350650e-04,1.0000104120e+00,4.8930975670e+01
14945,3.3484696390e-01,3.7685776930e-01,2.5745759230e-02,1.1097568730e+00,-6.6418201170e+01
14946,0.0000000000e+00,3.7700000000e-01,0.0000000000e+00,1.0000000000e+00,4.8910635940e+01
14947,1.0000000000e+00,3.7700000000e-01,-2.2997841520e-03,1.0492910340e+00,0.0000000000e+00
14948,1.0922448360e-03,3.7707978620e-01,9.8036738610e-05,1.0000060990e+00,4.8898647790e+01
14949,9.9859547480e-01,3.7710256330e-01,-2.3040034660e-03,1.0492754760e+00,1.1757563970e-02
14950,3.5377997290e-01,3.7714418110e-01,1.1823111550e-02,1.1135653770e+00,-7.0436993440e+01
14951,9.9713514210e-01,3.7722158200e-01,-2.3118395480e-03,1.0492493920e+00,2.2703115020e-02
14952,7.4356033000e-01,3.7725500190e-01,-5.3160883300e-03,1.0483128990e+00,5.6085470110e-01
14953,9.2984837230e-01,3.7733135550e-01,-2.3681174810e-03,1.0488674910e+00,5.0182440390e-01
